lob,loss_type,mack,odp,odp_param,odp_corr,odp_bf,odp_cc,odp_corr_bf,odp_corr_cc
ALL,case_incurred,0.0711,0.1116,0.1767,0.1993,0.1588,0.1249,0.167,0.1766
ALL,paid,0.092,0.1148,0.1746,0.2021,0.2396,0.1699,0.2439,0.2034
CAL,case_incurred,0.1001,0.1342,0.2184,0.2478,0.1518,0.1425,0.161,0.2041
CAL,paid,0.1313,0.1614,0.2056,0.2512,0.2383,0.1815,0.2434,0.2383
CMP,case_incurred,0.1168,0.1798,0.226,0.2501,0.2021,0.174,0.2151,0.2668
CMP,paid,0.1509,0.1823,0.2584,0.2986,0.2519,0.2061,0.2666,0.2777
HOFO,case_incurred,0.1492,0.2574,0.3795,0.4079,0.2542,0.2218,0.2608,0.3191
HOFO,paid,0.1783,0.211,0.5618,0.5886,0.3289,0.2688,0.3274,0.3424
INTL,case_incurred,0.9647,17.4301,0.4488,0.5086,0.2252,0.3331,0.2586,0.52
INTL,paid,0.9125,0.8338,0.4661,0.5386,0.2835,0.4308,0.2999,0.5158
MPLC,case_incurred,0.1148,0.2658,0.2494,0.2771,0.1552,0.166,0.172,0.2535
MPLC,paid,0.1754,0.2643,0.1774,0.2253,0.2345,0.1723,0.2373,0.2182
MPLO,case_incurred,0.1845,5.7862,0.3263,0.3955,0.1578,0.1986,0.1672,0.297
MPLO,paid,0.3096,2.6455,0.232,0.3035,0.2372,0.1969,0.2403,0.278
OLC,case_incurred,0.1709,0.2385,0.2761,0.3244,0.2009,0.1948,0.2192,0.2862
OLC,paid,0.2617,0.3346,0.3062,0.3772,0.2455,0.2319,0.2516,0.3465
OLO,case_incurred,0.214,0.3442,0.2555,0.3104,0.1932,0.1928,0.2045,0.2955
OLO,paid,0.3222,0.3834,0.2658,0.356,0.2401,0.2224,0.2465,0.3198
PLC,case_incurred,0.3604,1.3079,0.368,0.412,0.2559,0.265,0.2805,0.4033
PLC,paid,0.6805,2.6039,0.5281,0.6054,0.2497,0.2601,0.2538,0.3374
PLO,case_incurred,0.1625,0.3184,0.232,0.2906,0.2007,0.2004,0.2137,0.2996
PLO,paid,0.2582,0.51,0.1841,0.2599,0.2372,0.2061,0.2424,0.2913
PPAL,case_incurred,0.0738,0.0913,0.2047,0.2245,0.1381,0.1173,0.1413,0.1594
PPAL,paid,0.0919,0.1014,0.1932,0.2201,0.239,0.1688,0.2414,0.1942
REFIN,case_incurred,0.3004,22.1948,0.3959,0.4275,0.1774,0.3217,0.2048,0.5019
REFIN,paid,0.518,15.2435,0.6749,0.84,0.2806,0.4391,0.3045,0.6423
RELIAB,case_incurred,0.1744,0.6886,0.1965,0.258,0.1629,0.195,0.1691,0.2861
RELIAB,paid,0.2642,0.3969,0.2412,0.3434,0.243,0.249,0.2526,0.3751
REPROP,case_incurred,0.2842,14.3736,0.4507,0.5007,0.2295,0.3377,0.2631,0.4961
REPROP,paid,0.4079,1.5646,0.4377,0.5111,0.2651,0.269,0.2815,0.3737
SL,case_incurred,0.1618,0.3392,0.3236,0.3652,0.2187,0.228,0.2386,0.3166
SL,paid,0.2327,0.292,0.4537,0.5239,0.2628,0.2498,0.2779,0.3394
WC,case_incurred,0.0707,0.1699,0.187,0.2121,0.1553,0.13,0.1717,0.1957
WC,paid,0.076,0.1014,0.1485,0.1729,0.2365,0.1624,0.2409,0.188
