lob,loss_type,method,median_cv,mean_cv,n_companies
ALL,case_incurred,mack,0.0711,0.1033,270
ALL,case_incurred,odp,0.1116,13.4458,270
ALL,case_incurred,odp_bf,0.1588,0.181,270
ALL,case_incurred,odp_cc,0.1249,0.1645,270
ALL,case_incurred,odp_corr,0.1993,0.2562,270
ALL,case_incurred,odp_corr_bf,0.167,0.1936,270
ALL,case_incurred,odp_corr_cc,0.1766,0.239,270
ALL,case_incurred,odp_param,0.1767,0.2313,270
ALL,paid,mack,0.092,0.1369,270
ALL,paid,odp,0.1148,8.0012,270
ALL,paid,odp_bf,0.2396,0.259,270
ALL,paid,odp_cc,0.1699,0.2006,270
ALL,paid,odp_corr,0.2021,0.2839,270
ALL,paid,odp_corr_bf,0.2439,0.2655,270
ALL,paid,odp_corr_cc,0.2034,0.2503,270
ALL,paid,odp_param,0.1746,0.2546,270
CAL,case_incurred,mack,0.1001,0.1707,142
CAL,case_incurred,odp,0.1342,5.2314,142
CAL,case_incurred,odp_bf,0.1518,0.1692,142
CAL,case_incurred,odp_cc,0.1425,0.1792,142
CAL,case_incurred,odp_corr,0.2478,0.2814,142
CAL,case_incurred,odp_corr_bf,0.161,0.1812,142
CAL,case_incurred,odp_corr_cc,0.2041,0.261,142
CAL,case_incurred,odp_param,0.2184,0.2484,142
CAL,paid,mack,0.1313,0.1889,142
CAL,paid,odp,0.1614,0.3562,141
CAL,paid,odp_bf,0.2383,0.2456,142
CAL,paid,odp_cc,0.1815,0.2114,142
CAL,paid,odp_corr,0.2512,0.2968,142
CAL,paid,odp_corr_bf,0.2434,0.2519,142
CAL,paid,odp_corr_cc,0.2383,0.2723,142
CAL,paid,odp_param,0.2056,0.2469,142
CMP,case_incurred,mack,0.1168,0.2684,147
CMP,case_incurred,odp,0.1798,6.2927,147
CMP,case_incurred,odp_bf,0.2021,0.2158,147
CMP,case_incurred,odp_cc,0.174,0.2265,147
CMP,case_incurred,odp_corr,0.2501,0.3487,147
CMP,case_incurred,odp_corr_bf,0.2151,0.2354,147
CMP,case_incurred,odp_corr_cc,0.2668,0.339,147
CMP,case_incurred,odp_param,0.226,0.3098,147
CMP,paid,mack,0.1509,0.2174,147
CMP,paid,odp,0.1823,1.9663,147
CMP,paid,odp_bf,0.2519,0.2757,147
CMP,paid,odp_cc,0.2061,0.2452,147
CMP,paid,odp_corr,0.2986,0.3612,147
CMP,paid,odp_corr_bf,0.2666,0.2885,147
CMP,paid,odp_corr_cc,0.2777,0.33,147
CMP,paid,odp_param,0.2584,0.3208,147
HOFO,case_incurred,mack,0.1492,2.7553,162
HOFO,case_incurred,odp,0.2574,22.6233,162
HOFO,case_incurred,odp_bf,0.2542,0.2784,162
HOFO,case_incurred,odp_cc,0.2218,0.2796,162
HOFO,case_incurred,odp_corr,0.4079,0.583,162
HOFO,case_incurred,odp_corr_bf,0.2608,0.2972,162
HOFO,case_incurred,odp_corr_cc,0.3191,0.3945,162
HOFO,case_incurred,odp_param,0.3795,0.5672,162
HOFO,paid,mack,0.1783,0.3745,162
HOFO,paid,odp,0.211,2.7087,161
HOFO,paid,odp_bf,0.3289,0.3385,162
HOFO,paid,odp_cc,0.2688,0.3032,162
