lob,group_id,origin,dev,paid,case_incurred,premium
wc,sample_co,2001,12,357848,429418,5000000
wc,sample_co,2001,24,1124788,1349746,5000000
wc,sample_co,2001,36,1735330,2082396,5000000
wc,sample_co,2001,48,2218270,2661924,5000000
wc,sample_co,2001,60,2745596,3294715,5000000
wc,sample_co,2001,72,3319994,3983993,5000000
wc,sample_co,2001,84,3466336,4159603,5000000
wc,sample_co,2001,96,3606286,4327543,5000000
wc,sample_co,2001,108,3833515,4600218,5000000
wc,sample_co,2001,120,3901463,3901463,5000000
wc,sample_co,2002,12,352118,422542,5200000
wc,sample_co,2002,24,1236139,1483367,5200000
wc,sample_co,2002,36,2170033,2604040,5200000
wc,sample_co,2002,48,3353322,4023986,5200000
wc,sample_co,2002,60,3799067,4558880,5200000
wc,sample_co,2002,72,4120063,4944076,5200000
wc,sample_co,2002,84,4647867,5577440,5200000
wc,sample_co,2002,96,4914039,5896847,5200000
wc,sample_co,2002,108,5339085,5339085,5200000
wc,sample_co,2003,12,290507,348608,5400000
wc,sample_co,2003,24,1292306,1550767,5400000
wc,sample_co,2003,36,2218525,2662230,5400000
wc,sample_co,2003,48,3235179,3882215,5400000
wc,sample_co,2003,60,3985995,4783194,5400000
wc,sample_co,2003,72,4132918,4959502,5400000
wc,sample_co,2003,84,4628910,5554692,5400000
wc,sample_co,2003,96,4909315,4909315,5400000
wc,sample_co,2004,12,310608,372730,5600000
wc,sample_co,2004,24,1418858,1702630,5600000
wc,sample_co,2004,36,2195047,2634056,5600000
wc,sample_co,2004,48,3757447,4508936,5600000
wc,sample_co,2004,60,4029929,4835915,5600000
wc,sample_co,2004,72,4381982,5258378,5600000
wc,sample_co,2004,84,4588268,4588268,5600000
wc,sample_co,2005,12,443160,531792,5800000
wc,sample_co,2005,24,1136350,1363620,5800000
wc,sample_co,2005,36,2128333,2554000,5800000
wc,sample_co,2005,48,2897821,3477385,5800000
wc,sample_co,2005,60,3402672,4083206,5800000
wc,sample_co,2005,72,3873311,3873311,5800000
wc,sample_co,2006,12,396132,475358,6000000
wc,sample_co,2006,24,1333217,1599860,6000000
wc,sample_co,2006,36,2180715,2616858,6000000
wc,sample_co,2006,48,2985752,3582902,6000000
wc,sample_co,2006,60,3691712,3691712,6000000
wc,sample_co,2007,12,440832,528998,6200000
wc,sample_co,2007,24,1288463,1546156,6200000
wc,sample_co,2007,36,2419861,2903833,6200000
wc,sample_co,2007,48,3483130,3483130,6200000
wc,sample_co,2008,12,359480,431376,6400000
wc,sample_co,2008,24,1421128,1705354,6400000
wc,sample_co,2008,36,2864498,2864498,6400000
wc,sample_co,2009,12,376686,452023,6600000
wc,sample_co,2009,24,1363294,1363294,6600000
wc,sample_co,2010,12,344014,344014,6800000
